MHCII,Autofluo.,CD11b,CD64,CD161,Ly6G,CD3,CD19,CD11c
2.0551,0.99356,1.182,0.86448,0.7668,0.60646,0.59568,3.1807,1.0239
2.0278,1.3884,0.47381,1.0363,0.90551,0.49578,0.66109,3.0204,0.40012
1.0302,1.6004,0.80144,0.7477,1.1824,1.0708,0.60453,0.69968,0.92022
0.86739,1.2469,0.95654,0.93076,1.0229,0.63194,2.7861,1.3812,0.85123
1.2429,1.1496,0.49486,0.89874,1.2828,0.68939,3.0388,0.77773,0.92174
2.4114,1.2491,1.281,0.66664,0.22468,1.0497,1.1984,3.0194,1.0556
0.11028,1.586,3.5419,1.8002,0.34714,0.60119,1.108,2.1237,1.4812
2.7433,1.3901,1.2488,0.63214,0.45359,1.1373,1.9912,2.3707,1.725
1.2975,1.0269,0.85722,0.7429,1.212,0.81781,0.49947,2.6367,0.94649
2.8272,1.6674,1.2589,0.38742,0.54325,1.1711,1.6921,3.383,0.82908
2.2934,1.416,0.70348,0.64463,0.81824,1.173,1.5721,2.7617,1.0279
2.6527,1.2741,0.49481,0.76701,0.86374,0.90944,1.1064,2.9262,0.408
0.50559,0.78504,1.2712,1.2258,0.66194,0.36687,2.1851,1.6579,0.96494
0.94972,1.6549,3.061,1.9845,1.2675,0.9349,1.152,1.3797,1.8594
1.6699,1.103,1.0606,0.77925,0.62356,0.86239,0.84494,2.9719,0.92923
2.2535,1.1571,0.95192,0.77292,0.72484,0.99229,0.76914,3.0756,0.24513
0.8362,1.5803,1.1153,0.99136,1.259,0.74041,2.6104,1.5149,1.1582
0.95275,1.454,0.90744,0.95926,1.521,0.89087,2.4653,1.0146,1.3934
2.3276,1.1215,1.2161,0.97118,0.90991,0.36262,0.72423,2.9406,0.39175
2.7746,1.2823,0.90931,0.43672,1.2436,0.85217,1.0627,2.5228,1.0425
1.243,1.1003,0.96202,0.72408,1.9704,0.93694,2.3764,1.0244,0.85191
1.0393,1.5734,1.7242,1.0307,2.6236,0.51116,0.63289,0.86464,1.036
2.1653,0.77758,1.0518,0.64604,1.2244,0.87654,1.1213,1.7672,0.70646
0.14073,1.4436,0.89178,1.1249,0.90431,0.48062,2.9894,1.4935,1.1803
2.7416,1.2025,0.59364,0.36019,1.1954,0.37548,1.1073,3.0671,0.717
2.3591,1.0298,0.7964,0.59682,1.6844,0.88109,1.2345,3.0685,1.2156
2.8011,0.32853,0.77371,0.70998,0.70745,0.29634,1.1421,2.837,1.1657
2.4854,1.056,0.45533,1.0214,0.88948,0.58299,0.62444,3.1064,0.62717
0.51097,1.0922,0.50798,1.1024,0.99192,0.54774,2.846,1.4685,1.0776
2.3489,1.2207,1.2332,0.56915,1.3134,0.83546,0.6167,2.9937,1.1415
0.73163,1.408,1.1698,1.8086,1.3249,0.82294,2.3497,1.2743,1.3044
2.7145,1.5848,1.1967,1.3146,0.77693,1.0659,0.55457,3.4762,0.76518
2.5798,0.91961,1.3123,0.56003,1.227,0.13682,0.76825,3.4783,1.3506
0.85324,1.111,0.69827,0.75433,1.2514,0.84784,2.8354,1.2083,1.1492
0.51308,1.4783,0.56596,1.1899,0.898,1.1812,0.98906,2.8748,1.8676
2.9529,1.6248,1.7087,0.20447,0.19296,0.62205,0.93527,3.7481,1.2569
1.7807,0.59036,1.412,0.74933,0.9992,0.72167,0.41597,2.9518,0.54329
0.42774,0.8363,0.55748,1.1643,0.3692,1.0251,2.5887,1.9239,0.9486
0.90532,1.2659,1.18,0.99734,0.74339,1.0132,3.0553,1.0818,1.1957
1.7446,1.0922,0.95756,1.1016,0.24211,1.1472,0.53889,3.3809,1.3435
1.4158,0.92959,1.0706,0.68555,1.253,0.76227,3.0843,0.53306,0.7517
1.3007,1.0949,0.7852,0.82149,1.4108,0.75961,0.99811,2.363,1.0763
2.6309,1.2883,1.4038,0.7059,1.0149,0.96647,0.4768,2.8878,0.67649
1.3458,1.8467,1.3207,0.77134,1.1341,0.72396,1.3554,0.89741,1.0372
1.3514,1.2512,1.1221,0.64493,1.1389,0.91786,2.9062,0.4234,1.1346
2.539,1.0922,0.62114,0.79905,0.84446,1.6115,1.3434,2.8501,0.95744
0.53283,1.5186,1.3399,1.038,0.88294,0.70739,2.9334,1.2712,1.3536
0.90683,1.4769,1.2571,0.86081,1.0196,1.1755,1.4753,1.5617,1.1092
1.0408,1.2094,0.73939,1.0099,0.89179,0.60447,3.0487,1.5486,1.1118
1.4826,1.3001,0.31738,0.92469,1.366,0.90224,3.1894,0.75185,1.2817
1.0635,1.2184,0.90406,0.84211,1.4586,0.69489,2.6562,1.0714,1.2301
1.0361,1.1293,1.0806,0.94775,1.0892,1.2255,3.1113,0.28016,1.0244
1.3629,1.1396,0.78661,0.9104,1.672,0.33318,2.8755,0.732,1.0919
1.8097,0.2758,0.62702,0.58536,0.78761,0.85258,0.44778,2.9506,0.35491
2.5984,1.6391,2.4737,0.94951,0.77975,1.2613,0.73461,1.3891,3.1587
2.4773,1.5069,1.4,1.0975,0.56681,1.3333,0.54286,3.1513,1.2175
0.91294,1.1571,1.5021,0.90109,0.79308,0.82318,2.6664,1.1147,0.76291
2.7521,1.2448,1.1023,0.77239,0.96015,0.63007,1.0114,3.1911,1.0889
2.4797,0.77758,1.069,1.3189,0.555,0.84829,0.57262,3.0507,1.0164
0.8971,1.2903,0.6231,0.80171,0.93776,0.87397,2.7642,0.64059,1.1208
2.7767,1.4391,0.72827,0.64449,0.64086,0.97679,0.83292,3.1655,0.75585
0.75774,0.88908,0.50973,0.83155,1.0014,1.0877,2.8458,1.1848,0.85341
2.3772,1.913,1.6758,1.5049,0.77727,0.92519,0.60573,3.564,0.55012
1.5517,1.0701,1.3641,0.75825,1.0958,0.45758,2.3411,0.48917,0.75644
1.6806,0.93947,0.68197,0.70446,0.50578,1.1583,0.94703,2.889,0.68008
0.44821,1.0588,1.2785,0.76919,1.1507,0.74983,2.7193,1.2754,0.60606
3.2814,1.3733,1.2495,0.3298,0.23475,0.78917,1.461,3.6454,0.21681
1.1296,1.2863,1.5611,0.68031,1.2687,0.81541,3.4543,0.7527,0.76363
1.4385,1.0149,1.4391,0.72976,0.98409,0.96916,2.9459,0.63624,0.61762
2.5149,0.90276,0.95466,1.2817,0.44372,0.67635,0.81039,2.9834,0.37784
1.9514,1.7401,1.383,1.222,0.59119,1.0367,0.47154,3.588,0.81243
2.6362,1.1293,0.85536,0.44902,1.5927,0.47003,0.53542,3.1265,1.0676
2.5521,0.95893,0.2735,0.29804,0.86839,0.92959,1.1176,3.0371,1.2157
0.74482,0.95571,0.98278,1.2399,0.83334,0.92505,2.6653,1.3889,0.91781
2.7848,1.9368,1.6303,1.2108,1.1864,0.20116,0.49254,3.812,0.99411
2.2947,0.71668,0.23665,0.89456,0.86193,0.99656,0.72568,2.9657,0.67131
2.621,1.5095,1.1874,0.78631,1.2237,0.83854,1.4658,3.2379,0.40061
2.7621,1.6004,1.6437,1.1357,1.2898,0.91254,0.54615,3.2881,1.1069
1.4512,1.8071,2.755,0.48873,2.8159,0.95259,1.258,0.26937,2.088
0.94742,0.85415,0.87155,1.4319,0.861,0.9424,0.9046,2.893,0.77061
0.4584,1.179,1.1312,1.1188,1.2993,0.85447,2.1636,1.5407,0.62862
2.3092,1.0328,1.4895,0.79933,0.50907,0.99967,0.6777,3.1193,1.1761
2.1983,1.2491,1.2548,0.77218,1.3818,0.87797,1.0271,2.7219,0.80793
0.67262,0.70117,0.61788,1.036,0.50411,0.51851,2.661,1.6183,0.89672
2.3209,1.4191,0.72941,0.95568,0.60316,1.0589,1.3279,3.2694,1.0397
2.6731,3.031,3.0406,3.2773,1.4074,2.0303,1.5553,2.2042,2.9307
2.9772,0.96851,0.64117,0.69184,0.56591,0.89722,0.93287,3.1538,1.071
2.2523,2.7276,2.5913,2.4858,1.3071,1.1375,0.87468,1.4634,2.3369
1.8689,0.92959,0.73641,0.5839,1.282,0.79645,3.199,1.1969,0.73611
2.5513,1.5055,1.4998,1.0071,0.47193,0.73843,1.1687,2.6106,1.1061
2.3956,1.2762,0.82224,1.1253,0.54167,0.77394,1.0248,3.2086,0.66501
2.8992,0.70894,0.65077,0.78573,1.0549,0.57702,0.91453,3.0838,0.66665
2.8116,1.1345,0.59607,0.8678,0.91075,0.93389,0.99162,2.9249,1.0579
1.0768,1.2762,0.67125,0.68093,0.74396,1.196,2.8104,1.6042,0.98178
2.4675,1.5558,1.6263,0.44878,0.80974,0.61607,1.0569,3.0466,0.82019
2.9459,0.73592,1.4429,0.33228,0.8814,0.49624,0.9448,3.0235,1.2162
2.0346,0.77007,1.1408,1.3348,0.95472,0.45094,0.96462,3.1245,0.24521
1.4475,1.5474,0.65942,0.89927,1.4347,0.84433,3.3062,1.1588,1.0682
1.7764,0.83271,1.359,1.0553,0.49349,1.178,0.85299,2.6754,0.4416
2.9188,1.1742,1.4131,0.95522,0.86709,0.59858,0.42126,1.6172,2.7511
2.7162,1.4176,1.1952,0.46678,0.73976,0.53835,0.058439,3.0917,1.0405
2.8181,1.632,1.9068,1.7274,0.76386,0.83421,0.5337,3.1941,1.621
2.4063,1.1137,0.73628,0.83517,0.40149,1.1097,0.69167,3.2609,1.013
2.3848,1.1955,1.2014,0.66015,1.2645,0.36948,1.5192,2.8085,0.98643
2.7419,1.0617,1.0622,0.29848,1.2593,0.50359,1.4152,3.1406,0.65478
3.2819,1.5462,1.98,1.1872,0.74901,1.171,1.1878,1.0783,3.2934
2.4332,1.2823,0.70722,0.56643,1.1557,0.28579,0.84315,3.0064,0.37081
1.9943,1.3646,0.38644,0.71533,1.4018,0.58642,0.71559,2.753,0.32195
2.6628,1.1979,0.98455,0.52943,0.27611,0.1092,0.69876,3.3598,0.75392
2.6636,1.2659,0.63729,0.92533,0.47421,0.7384,1.3793,3.2443,1.147
2.3874,1.4096,2.7453,0.73339,1.5974,0.42005,1.3019,3.0175,2.3661
2.9765,1.4361,0.68348,0.31583,1.9825,-0.017189,1.01,3.3131,0.98194
1.2918,1.5949,0.61827,0.69698,1.0996,1.1476,2.4455,0.73043,0.99372
2.5642,1.3576,0.78677,1.4375,0.65227,0.61799,1.3003,3.4762,1.0805
2.4959,0.59036,0.82317,1.0638,1.0408,0.46066,0.73139,3.0319,1.0507
2.6107,1.1137,1.4073,1.2619,1.1516,0.95791,1.0223,3.0856,1.2615
2.3858,1.3193,0.31353,0.45448,1.4761,0.63925,1.907,3.0744,1.0899
2.5076,1.0673,1.3433,0.71328,0.2761,1.0087,0.98174,3.2248,0.75164
0.22725,1.2721,0.45714,1.1059,1.5331,0.6728,2.9327,1.0347,1.1301
1.2528,1.395,0.46196,0.98405,1.1038,1.1342,2.9003,0.4423,1.2104
2.4064,1.7047,1.6522,0.62796,0.3449,0.58434,0.95549,3.1697,0.60643
0.80459,1.488,1.1816,0.99718,1.3296,0.69801,2.9737,0.88465,0.69152
0.80511,0.91961,0.92887,0.88439,0.85182,0.81681,2.9176,1.4885,0.51566
0.46816,0.35546,1.5535,1.1883,0.91678,1.0183,3.1601,1.5865,0.91797
2.5518,1.2116,1.2589,0.32078,1.3463,0.76916,0.93579,3.2559,1.0788
1.2042,1.2273,1.5326,0.84211,0.78153,0.65048,3.0261,0.90315,1.4781
1.1358,1.2251,1.2082,0.81002,0.99107,1.0571,3.0286,0.82043,0.81803
3.0258,0.82185,0.93984,0.92055,0.79154,0.92497,0.39306,3.2063,0.34741
0.6292,1.1645,1.3523,0.87203,1.5524,0.71625,2.5757,1.1749,0.90165
2.7826,1.9163,1.8691,2.341,0.60552,0.91,1.2923,3.259,1.5529
0.89442,1.5002,0.65494,0.85464,2.2035,0.95697,2.2868,1.4819,1.1911
2.7012,1.084,1.2043,1.4277,0.90636,0.28831,0.42255,3.2376,0.83285
2.5932,1.4584,0.70112,1.0336,0.68528,1.1283,1.0176,3.0753,1.1732
3.186,0.95248,1.1929,0.17414,0.44734,0.78719,0.72088,3.4264,1.0258
1.5515,0.87175,0.85557,1.2786,0.91459,1.0386,1.141,3.2267,0.35344
0.57938,1.2533,1.4477,0.86756,1.0693,0.57141,2.4712,1.1525,1.1542
0.47372,1.1861,0.97545,0.98291,0.68125,1.1555,2.4301,1.5012,0.91042
