tsne_dim1,tsne_dim2,top_attribute_variance,top_attribute_values
-32.272194,23.900621,2,2
-4.5271716,17.636951,0,8
17.188059,-19.01698,5,4
5.265971,30.573112,0,1
-4.0115137,26.389324,6,5
22.410368,21.876663,0,0
-26.262207,-52.61195,0,6
-33.088867,25.741894,7,2
-1.466813,-4.1493683,1,7
4.4279346,12.827255,0,7
-27.903204,-24.796518,7,6
-39.67491,-19.913544,6,6
25.203085,6.508553,7,7
32.26384,16.497736,0,0
-43.224144,-17.549988,7,4
-49.85909,-4.4425063,0,4
19.720531,-17.095095,8,4
-27.568823,-27.867971,4,6
50.26526,10.344924,2,7
36.814487,-0.21275094,2,4
21.848976,3.6785767,3,0
23.80572,8.525071,4,7
-30.602371,-30.902254,0,6
36.734886,6.0494595,3,4
-30.772705,-26.348593,0,3
-17.585297,15.484028,7,3
42.76311,7.9630737,2,7
-39.47137,-30.857025,6,6
3.2131488,-16.245716,3,8
8.978979,33.70953,6,7
23.078655,-16.427145,5,7
-21.108353,-49.084805,7,6
-21.582792,-39.5027,8,6
-9.17552,-0.6415014,6,5
-46.581696,-31.214111,0,6
16.770967,-19.168798,5,4
28.714985,18.947512,4,0
-17.695202,-16.608088,4,1
-45.114548,-28.37034,1,6
1.5754678,-2.657413,6,5
-25.932955,-24.75122,3,6
-16.273775,-19.64102,5,5
-31.716574,-32.617725,7,6
-36.314495,-37.704384,0,6
-39.17342,-21.084837,2,6
-34.493214,-47.005306,2,6
-40.03191,-23.071514,1,6
17.780167,1.763998,0,5
-44.592113,23.73936,8,8
-9.827955,15.780526,7,5
-19.884863,-36.75665,0,6
26.474152,12.251813,7,0
10.217601,-2.4733725,3,3
-32.731846,-36.287704,2,6
-1.4980628,25.034807,7,0
-29.657507,-44.248013,3,6
-18.545773,15.738913,7,3
-36.395283,-22.706264,0,6
2.2383914,1.2882355,7,5
-23.78075,-29.122122,2,6
10.549563,36.57574,4,0
-33.044407,-17.995567,3,6
-16.750906,-31.82061,5,6
0.30987322,6.443134,1,3
-18.37782,16.367466,7,3
47.628006,5.493616,5,4
14.07045,19.215837,6,0
-23.812567,-47.902393,0,6
37.225967,13.894117,8,1
3.205168,-0.23017754,7,5
35.626892,20.312464,7,7
-16.670965,16.201782,0,3
-52.188694,-2.6012723,4,4
9.512278,-21.931345,2,3
-31.316423,-24.915955,4,6
2.0120273,16.877043,7,7
36.98434,3.7937129,6,4
-26.37846,-51.909462,8,6
-4.2833457,2.937752,3,7
-25.618246,37.915234,2,3
4.594431,8.670554,4,0
-28.574854,35.46915,0,3
-44.646397,-32.400074,8,6
-11.969025,10.049875,0,0
-10.722188,6.6766562,7,3
25.920073,0.015627885,3,0
8.758853,0.78670317,4,0
-31.23391,-40.012684,3,6
16.165394,34.17926,7,1
17.490942,17.239265,3,0
26.501148,-14.919419,0,3
-36.770763,-36.113884,8,6
10.473487,-11.480887,3,5
-42.390217,25.846313,0,8
21.276985,30.103863,0,0
-15.155161,14.181343,7,3
-2.1887612,5.8849573,1,5
44.667377,9.949709,6,4
46.515038,8.999128,0,0
-44.733177,25.967735,8,8
48.814884,12.827231,5,0
28.059647,-8.600657,0,4
21.266747,36.088757,1,7
1.7176032,8.746151,7,7
53.968826,2.3966134,0,2
53.699287,13.180866,0,4
-33.418846,-38.398693,8,6
-15.302288,8.155468,2,3
21.230556,-0.25053984,7,7
-1.3107425,-14.871917,6,3
52.649696,7.8380547,0,4
-1.6524252,16.980837,5,7
-33.661587,-28.153856,3,6
-34.868034,-38.885826,7,6
16.512335,35.840702,5,1
-29.975822,-20.737858,3,6
-24.008703,-49.324474,2,6
-22.702562,-52.160538,7,6
40.75098,20.039183,3,4
-21.788153,-23.139978,2,6
-19.084124,-34.556534,2,6
12.0294,11.335575,3,0
-37.93805,-19.508976,3,4
-26.194603,31.853981,7,3
-42.629025,-16.67649,6,4
28.585562,7.940671,5,3
-4.1488037,3.0159295,3,7
15.653534,25.131226,8,0
12.793481,-11.614331,4,5
-27.276207,-22.769228,5,6
-20.845821,-44.162975,3,6
40.055344,-3.3511891,7,4
-11.725468,-40.844406,2,5
-14.408306,-46.863182,7,3
-1.9318014,-2.9013426,4,7
24.279057,-1.5140561,6,7
24.833378,9.943343,7,7
6.8864546,-7.050356,0,7
-27.647444,-41.391888,2,6
10.432988,33.85558,7,0
-9.461692,6.748712,6,7
-22.851192,-26.569876,4,6
48.301105,4.707413,6,4
-31.566498,34.38553,8,3
-26.313547,-38.448223,2,6
23.797546,27.630447,6,7
30.954266,9.41509,0,0
4.0288196,31.328144,6,0
9.361863,27.550268,3,0
26.443424,12.097983,2,0
-42.000935,-38.337467,1,6
-42.155987,-38.548813,1,6
5.8341656,-11.334668,0,5
39.69376,-3.4701574,4,4
-11.372422,11.378681,0,0
24.76545,31.351782,3,0
-47.43942,24.76609,0,8
4.3878393,31.893406,0,0
14.710682,10.567081,0,0
-30.542088,-24.938866,4,6
33.824905,-7.2826133,2,3
-6.05733,18.614445,0,5
-34.855564,-35.647976,7,6
22.102634,26.600176,0,7
7.772025,17.413353,7,0
39.628937,14.703711,5,0
-29.0653,-28.325554,7,3
-6.4166255,-1.4584441,7,5
4.548655,5.404776,6,7
5.014618,-5.0298114,0,5
-35.24204,-37.346436,5,6
4.0640182,28.769491,8,5
32.781597,15.0971575,6,0
27.108011,11.385628,4,0
18.64348,-5.9141006,2,7
7.461253,11.938848,7,5
47.488422,12.701818,3,0
-32.22489,25.910696,6,2
43.191555,6.7714643,0,0
34.69135,3.1368983,7,4
11.327966,33.77295,7,0
30.407843,13.174657,1,8
46.302757,9.425145,7,0
13.667592,23.334291,7,0
-33.19391,16.364605,2,5
-6.1214066,8.289958,7,5
-7.579233,12.254989,8,7
18.054445,15.214641,4,7
45.68881,-2.96501,4,7
-47.89821,-32.16684,3,6
15.782792,10.941394,7,0
-48.996536,25.295406,6,8
-24.42547,-45.887108,6,6
24.96961,34.363483,0,0
28.5537,1.5478166,6,0
21.643225,21.163773,5,0
-48.75463,-28.326822,6,6
12.336628,9.4702215,0,0
7.258266,9.750458,7,7
26.558414,24.48812,4,0
50.10542,9.252132,0,4
36.88588,19.40049,4,1
-22.122437,-39.434998,8,6
29.721111,1.162441,3,5
46.064598,12.961998,7,4
34.121487,19.179705,0,7
-1.3928407,24.71479,5,0
24.16661,-13.488949,0,2
-14.917033,22.894068,8,5
4.232976,16.287308,3,0
-18.618666,-13.034175,7,8
-3.0560775,-5.7321506,4,7
1.1564825,21.169079,0,5
19.320189,29.056854,5,7
-3.9318838,-1.1293797,1,5
-34.52982,-24.260296,6,6
16.854172,32.720505,6,0
-24.324991,-40.83317,1,6
31.25178,9.827343,0,0
17.635973,-14.134111,1,7
-34.63501,-27.952486,4,6
6.143828,-20.27432,7,5
12.285725,12.590607,3,7
10.927925,10.375635,8,0
-20.22232,-45.720802,0,6
-46.54866,20.916475,1,8
27.602934,29.672222,0,0
-34.82349,-21.22401,7,6
16.439188,15.952938,4,0
-41.01434,-26.354063,4,6
26.239307,-5.1396036,0,0
-46.5867,-23.153357,8,6
40.286385,1.4422046,1,4
-31.920334,-35.783688,2,6
17.256706,-14.220772,1,7
-31.399416,-33.79499,7,6
3.759647,4.91728,2,7
-27.163084,35.632927,8,3
-47.923237,-34.811172,5,6
32.31164,-2.6253397,7,4
-32.100067,-42.02178,1,6
17.484531,-17.102499,0,7
22.10137,-21.025726,3,0
19.646637,-12.865306,3,7
-2.5210383,2.88406,0,5
-31.662123,24.579763,2,2
-13.861205,-34.415195,1,6
-32.374588,-22.004827,0,6
-19.009378,-27.440306,5,6
29.994053,-9.220003,5,4
23.317951,23.588398,3,0
-39.05084,-19.079466,3,6
-35.729122,-27.906187,3,6
41.603508,-6.4503455,7,4
29.137909,-9.280834,3,4
40.875546,25.716324,7,1
-32.917694,-43.031857,4,6
22.46685,-7.3055973,0,7
-2.3299296,-4.1928773,1,7
23.72156,30.389055,7,7
25.205381,33.342728,6,0
27.046339,29.116219,3,0
5.2177954,11.128753,3,0
32.967575,20.722538,0,7
-18.544146,-28.876837,0,6
-16.38193,11.923855,1,7
-28.58459,-25.41104,5,6
-0.15249978,14.478897,6,7
17.269407,27.488033,6,7
-1.8437443,-8.261266,0,7
-2.0408497,11.204107,7,0
42.841236,10.535318,5,2
34.13355,4.9838877,4,0
25.260147,-9.24277,0,3
-49.390343,-33.977345,0,6
33.275948,-8.687675,3,7
3.1639667,11.77676,6,7
-42.890827,-29.580254,4,6
-1.9983271,-3.7648966,1,7
33.721203,19.186739,3,0
-32.732807,-42.26255,4,6
13.368782,29.409304,8,2
-33.242542,14.45701,2,5
-15.373011,9.649564,2,3
-19.770178,-37.39142,0,6
6.508193,-20.00516,7,5
-52.37874,-3.1568253,4,4
-25.9586,36.71765,7,3
6.142069,-4.851178,1,5
-27.950394,33.560818,6,3
-24.278814,-22.659277,2,1
-12.622838,-41.00108,2,6
39.10039,0.84033823,7,4
-34.96116,-27.472351,0,6
17.69333,-18.875715,5,4
-25.61661,-51.277065,3,6
11.68436,14.364203,5,7
-15.435491,-29.957396,0,6
-32.815006,-36.02599,2,6
12.9873295,20.76547,1,0
-48.24514,28.418604,0,8
-24.791756,-39.13004,3,6
-25.592384,37.230278,2,3
-39.696873,-25.557812,2,6
40.362778,23.404123,8,0
41.5177,22.23602,7,4
34.624107,-10.160844,0,4
-17.65928,-22.345003,7,6
19.895535,26.391306,1,0
19.819168,14.359195,0,0
15.238801,4.810522,0,7
-48.587734,-33.44911,0,6
7.667925,3.7691312,2,8
17.966063,-8.792321,7,7
-1.3913536,-14.963779,6,3
-29.049725,34.611588,0,3
13.578128,4.8769107,6,7
-23.922615,-49.47081,2,6
18.02602,11.582025,0,2
24.874046,9.43858,7,7
19.762766,-17.436657,8,4
-30.472748,30.7365,0,3
15.125479,-22.419817,7,4
46.537315,22.478848,7,0
-31.09106,-47.193615,6,6
-24.109531,-23.45979,2,1
-32.25859,-26.630474,7,6
21.360773,-6.158261,1,1
-1.549602,2.4862173,4,7
20.37838,-20.85398,2,4
32.40324,-13.992702,4,7
33.293575,10.517764,0,0
46.25919,18.184689,2,0
14.249616,3.880697,0,8
-19.27908,-33.03164,2,6
-29.865076,34.904892,0,3
-50.611183,0.018105438,6,4
43.158417,2.5433886,3,2
-44.078377,-36.878433,6,6
29.696579,-5.5643806,0,0
-33.47928,-35.59025,0,6
37.54868,4.940704,4,4
20.01712,5.1446395,7,7
17.706244,8.939768,8,7
-32.825684,-40.814655,6,6
-47.77071,-33.736702,0,6
-2.6972435,-5.860136,4,7
9.609114,-5.4843535,5,3
-32.783092,14.165593,2,5
-49.19446,-35.63598,0,6
-21.451893,-28.79097,7,6
28.384933,1.2432216,6,0
3.031994,1.2007672,3,5
-47.196285,25.199812,0,8
29.42179,-6.760834,7,7
-21.48481,-41.49514,6,6
